# latency_ms  country  status        link
18          CA      reachable     https://t.me/proxy?port=25565&secret=ee1603010200010001fc030386e24c3add626973636f7474692e79656b74616e65742e636f6d&server=miinecrafto.com
19          CA      reachable     https://t.me/proxy?port=25565&secret=dd79e7010200010007f0030386e24c3add&server=pizza.telbet.lol
20          CA      reachable     https://t.me/proxy?port=25565&secret=ee1603010200010001fc030386e24c3add626973636f7474692e79656b74616e65742e636f6d&server=mimecraft4ir.homes
21          CA      reachable     https://t.me/proxy?port=25565&secret=dd79e7010200010007f0030386e24c3add&server=moh.telbet.lol
22          CA      handshake_ok  https://t.me/proxy?port=25565&secret=ee104462821249bd7ac519130220c25d0963646e2e79656b74616e65742e636f6d&server=mc-ssh.t-proxyru.info.
23          CA      reachable     https://t.me/proxy?port=22&secret=dd79e7010200010007f0030386e24c3add&server=br.kingproxynewdomailasiatech.ink
23          CA      reachable     https://t.me/proxy?port=22&secret=dd79e7010200010007f0030386e24c3add&server=come.vak1l.ir
24          CA      reachable     https://t.me/proxy?port=9443&secret=ee09db815a6d82a31fda76f872230c69d7706b676275696c642e6f7267&server=172.65.234.91
24          CA      reachable     https://t.me/proxy?port=22&secret=dd79e7010200010007f0030386e24c3add&server=Loti.vak1l.ir
25          CA      reachable     https://t.me/proxy?port=22&secret=dd79e7010200010007f0030386e24c3add&server=mask.vak1l.ir
26          CA      reachable     https://t.me/proxy?port=9443&secret=ee09db815a6d82a31fda76f872230c69d7706b676275696c642e6f7267&server=172.65.38.26
33          CA      reachable     https://t.me/proxy?port=25565&secret=ee1603010200010001fc030386e24c3add626973636f7474692e79656b74616e65742e636f6d&server=bomberoo.shop
34          CA      reachable     https://t.me/proxy?port=22&secret=dd79e7010200010007f0030386e24c3add&server=1.vak1l.ir
54          IR      reachable     https://t.me/proxy?port=443&secret=ee68747470733a2f2f74656c656772616d2e6d65&server=185.143.232.122
59          IR      reachable     https://t.me/proxy?port=443&secret=ee68747470733a2f2f74656c656772616d2e6d65&server=185.143.232.103
143         DE      handshake_ok  https://t.me/proxy?port=88&secret=ee0000f00f0f775555fffffff5006e2e696d656469612e737465616d706f77657265642e636f6d&server=super-hero-iran.ir.mausjakaqd.info.
145         DE      handshake_ok  https://t.me/proxy?port=443&secret=ee1603010200010001fc030386e24c3add6d656469612e737465616d706f77657265642e636f6d&server=gheime.nazri.info
148         DE      reachable     https://t.me/proxy?port=443&secret=ddf0eeb0bd9adc4fd4a93994ee3b2a216b&server=kha8shen.co.uk.
149         DE      handshake_ok  https://t.me/proxy?port=443&secret=eeb67e98429f3ba8896ff33ab9ff9d18a1676f6f676c65617069732e636f6d&server=178.105.168.17
149         DE      handshake_ok  https://t.me/proxy?port=443&secret=ee1603010200010001fc030386e24c3add6d656469612e737465616d706f77657265642e636f6d&server=sabadkala.imalz.info
149         DE      reachable     https://t.me/proxy?port=443&secret=dd104462821249bd7ac519130220c25d09&server=178.105.92.183
150         DE      reachable     https://t.me/proxy?port=155&secret=dd104462821249bd7ac519130220c25d09&server=vip.3ven.sbs
151         NL      handshake_ok  https://t.me/proxy?port=443&secret=ee1603010200010001fc030386e24c3add626973636f7474692e79656b74616e65742e636f6d&server=h.hajagha.co.uk
151         DE      reachable     https://t.me/proxy?port=443&secret=ddd451f808fd60ed2c45f11d38fdbc87c5&server=91.107.254.122
152         DE      handshake_ok  https://t.me/proxy?port=443&secret=ee1603010200010001fc030386e24c3add6d656469612e737465616d706f77657265642e636f6d&server=tgju.org.nazri.info
152         NL      handshake_ok  https://t.me/proxy?port=443&secret=ee1603010200010001fc030386e24c3add626973636f7474692e79656b74616e65742e636f6d&server=87.248.149.30
